#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.112982E+04   0.548808E-01   0.000000E+00   0.339373E+01   0.488559E-07   0.343977E-02  -0.163874E-04
     3   0.105164E+04   0.883130E-01   0.000000E+00   0.424542E+01   0.594171E-07   0.341890E-02  -0.198896E-04
     4   0.979120E+03   0.977554E-01   0.000000E+00   0.435474E+01   0.684187E-07   0.332692E-02  -0.198382E-04
     5   0.923257E+03   0.853386E-01   0.000000E+00   0.402508E+01   0.762100E-07   0.320854E-02  -0.172796E-04
     6   0.882638E+03   0.620301E-01   0.000000E+00   0.349081E+01   0.829914E-07   0.308244E-02  -0.131635E-04
     7   0.854350E+03   0.388816E-01   0.000000E+00   0.290056E+01   0.889452E-07   0.295828E-02  -0.840184E-05
     8   0.835172E+03   0.222142E-01   0.000000E+00   0.234491E+01   0.942003E-07   0.283671E-02  -0.381788E-05
     9   0.822970E+03   0.131021E-01   0.000000E+00   0.187009E+01   0.988652E-07   0.271685E-02  -0.499895E-07
    10   0.816179E+03   0.941925E-02   0.000000E+00   0.150096E+01   0.103008E-06   0.260071E-02   0.256699E-05
    11   0.813230E+03   0.829261E-02   0.000000E+00   0.124553E+01   0.106721E-06   0.249332E-02   0.399381E-05
    12   0.814235E+03   0.773990E-02   0.000000E+00   0.110111E+01   0.110027E-06   0.239625E-02   0.432928E-05
    13   0.817413E+03   0.691091E-02   0.000000E+00   0.104350E+01   0.112971E-06   0.230813E-02   0.374445E-05
    14   0.821826E+03   0.600530E-02   0.000000E+00   0.104384E+01   0.115606E-06   0.222709E-02   0.246569E-05
    15   0.827735E+03   0.531402E-02   0.000000E+00   0.108305E+01   0.117961E-06   0.215029E-02   0.915761E-06
    16   0.835512E+03   0.504319E-02   0.000000E+00   0.114541E+01   0.120062E-06   0.207562E-02  -0.494680E-06
    17   0.845066E+03   0.518855E-02   0.000000E+00   0.121592E+01   0.121937E-06   0.200428E-02  -0.156734E-05
    18   0.855445E+03   0.550837E-02   0.000000E+00   0.128292E+01   0.123612E-06   0.193774E-02  -0.220083E-05
    19   0.867474E+03   0.586975E-02   0.000000E+00   0.134096E+01   0.125097E-06   0.187523E-02  -0.246818E-05
    20   0.879473E+03   0.625051E-02   0.000000E+00   0.138521E+01   0.126401E-06   0.181562E-02  -0.246033E-05
    21   0.891786E+03   0.669537E-02   0.000000E+00   0.142172E+01   0.127548E-06   0.175837E-02  -0.217415E-05
    22   0.904683E+03   0.733629E-02   0.000000E+00   0.145682E+01   0.128555E-06   0.170325E-02  -0.162321E-05
    23   0.917975E+03   0.822801E-02   0.000000E+00   0.149206E+01   0.129433E-06   0.165063E-02  -0.980229E-06
    24   0.931718E+03   0.936648E-02   0.000000E+00   0.152814E+01   0.130189E-06   0.160087E-02  -0.438098E-06
    25   0.945849E+03   0.107608E-01   0.000000E+00   0.156695E+01   0.130833E-06   0.155389E-02  -0.117719E-06
    26   0.960179E+03   0.123792E-01   0.000000E+00   0.161108E+01   0.131376E-06   0.150941E-02  -0.781395E-07
    27   0.974943E+03   0.141780E-01   0.000000E+00   0.165759E+01   0.131828E-06   0.146702E-02  -0.204659E-06
    28   0.989989E+03   0.161443E-01   0.000000E+00   0.170363E+01   0.132195E-06   0.142640E-02  -0.365847E-06
    29   0.100537E+04   0.182875E-01   0.000000E+00   0.174728E+01   0.132478E-06   0.138777E-02  -0.532872E-06
    30   0.102101E+04   0.206242E-01   0.000000E+00   0.178545E+01   0.132676E-06   0.135132E-02  -0.707085E-06
    31   0.103677E+04   0.231393E-01   0.000000E+00   0.181575E+01   0.132803E-06   0.131665E-02  -0.908323E-06
    32   0.105290E+04   0.258068E-01   0.000000E+00   0.183589E+01   0.132868E-06   0.128329E-02  -0.113983E-05
    33   0.106940E+04   0.286377E-01   0.000000E+00   0.184320E+01   0.132875E-06   0.125092E-02  -0.132059E-05
    34   0.108610E+04   0.316621E-01   0.000000E+00   0.183696E+01   0.132828E-06   0.121935E-02  -0.136479E-05
    35   0.110296E+04   0.349011E-01   0.000000E+00   0.182142E+01   0.132729E-06   0.118861E-02  -0.125007E-05
    36   0.111991E+04   0.383749E-01   0.000000E+00   0.179943E+01   0.132583E-06   0.115885E-02  -0.995543E-06
    37   0.113697E+04   0.420767E-01   0.000000E+00   0.176709E+01   0.132394E-06   0.113059E-02  -0.722626E-06
    38   0.115444E+04   0.460033E-01   0.000000E+00   0.172213E+01   0.132164E-06   0.110421E-02  -0.545135E-06
