#    L    TT             EE             BB             TE          
     2   0.112982E+04   0.548822E-01   0.141502E-05   0.339373E+01
     3   0.105164E+04   0.883158E-01   0.283052E-05   0.424542E+01
     4   0.979130E+03   0.977602E-01   0.471859E-05   0.435474E+01
     5   0.923272E+03   0.853456E-01   0.707984E-05   0.402509E+01
     6   0.882659E+03   0.620400E-01   0.991505E-05   0.349081E+01
     7   0.854377E+03   0.388949E-01   0.132251E-04   0.290056E+01
     8   0.835207E+03   0.222312E-01   0.170111E-04   0.234491E+01
     9   0.823013E+03   0.131234E-01   0.212741E-04   0.187008E+01
    10   0.816232E+03   0.944527E-02   0.260155E-04   0.150095E+01
    11   0.813293E+03   0.832385E-02   0.312366E-04   0.124551E+01
    12   0.814309E+03   0.777684E-02   0.369389E-04   0.110110E+01
    13   0.817499E+03   0.695403E-02   0.431240E-04   0.104347E+01
    14   0.821925E+03   0.605508E-02   0.497934E-04   0.104381E+01
    15   0.827848E+03   0.537096E-02   0.569489E-04   0.108301E+01
    16   0.835639E+03   0.510777E-02   0.645922E-04   0.114536E+01
    17   0.845207E+03   0.526125E-02   0.727249E-04   0.121585E+01
    18   0.855602E+03   0.558969E-02   0.813490E-04   0.128284E+01
    19   0.867648E+03   0.596017E-02   0.904661E-04   0.134086E+01
    20   0.879664E+03   0.635053E-02   0.100078E-03   0.138509E+01
    21   0.891994E+03   0.680548E-02   0.110186E-03   0.142158E+01
    22   0.904910E+03   0.745697E-02   0.120793E-03   0.145665E+01
    23   0.918221E+03   0.835977E-02   0.131899E-03   0.149186E+01
    24   0.931983E+03   0.950980E-02   0.143507E-03   0.152791E+01
    25   0.946134E+03   0.109162E-01   0.155618E-03   0.156668E+01
    26   0.960485E+03   0.125472E-01   0.168233E-03   0.161078E+01
    27   0.975269E+03   0.143590E-01   0.181354E-03   0.165723E+01
    28   0.990337E+03   0.163388E-01   0.194981E-03   0.170323E+01
    29   0.100574E+04   0.184961E-01   0.209116E-03   0.174683E+01
    30   0.102140E+04   0.208473E-01   0.223761E-03   0.178494E+01
    31   0.103718E+04   0.233774E-01   0.238914E-03   0.181519E+01
    32   0.105333E+04   0.260604E-01   0.254579E-03   0.183526E+01
    33   0.106986E+04   0.289072E-01   0.270754E-03   0.184251E+01
    34   0.108658E+04   0.319480E-01   0.287440E-03   0.183620E+01
    35   0.110347E+04   0.352040E-01   0.304638E-03   0.182058E+01
    36   0.112044E+04   0.386952E-01   0.322349E-03   0.179851E+01
    37   0.113752E+04   0.424149E-01   0.340570E-03   0.176609E+01
    38   0.115502E+04   0.463598E-01   0.359304E-03   0.172104E+01
    39   0.117292E+04   0.505414E-01   0.378549E-03   0.166548E+01
    40   0.119093E+04   0.549802E-01   0.398306E-03   0.160241E+01
    41   0.120918E+04   0.596969E-01   0.418573E-03   0.153368E+01
    42   0.122742E+04   0.646927E-01   0.439350E-03   0.145737E+01
    43   0.124580E+04   0.699638E-01   0.460637E-03   0.137066E+01
    44   0.126418E+04   0.754916E-01   0.482432E-03   0.127158E+01
    45   0.128291E+04   0.812677E-01   0.504735E-03   0.115826E+01
    46   0.130194E+04   0.872887E-01   0.527545E-03   0.102757E+01
    47   0.132112E+04   0.935571E-01   0.550861E-03   0.881320E+00
    48   0.134037E+04   0.100084E+00   0.574682E-03   0.725167E+00
    49   0.135979E+04   0.106858E+00   0.599006E-03   0.564191E+00
    50   0.137960E+04   0.113861E+00   0.623834E-03   0.396688E+00
    51   0.139959E+04   0.121069E+00   0.649163E-03   0.219124E+00
    52   0.141998E+04   0.128563E+00   0.674993E-03   0.262728E-01
    53   0.144037E+04   0.136488E+00   0.701322E-03  -0.185664E+00
    54   0.146069E+04   0.144831E+00   0.728150E-03  -0.412517E+00
    55   0.148115E+04   0.153565E+00   0.755476E-03  -0.650000E+00
    56   0.150197E+04   0.162543E+00   0.783298E-03  -0.899911E+00
    57   0.152307E+04   0.171658E+00   0.811617E-03  -0.116208E+01
    58   0.154446E+04   0.180923E+00   0.840430E-03  -0.143706E+01
    59   0.156602E+04   0.190379E+00   0.869738E-03  -0.172546E+01
    60   0.158773E+04   0.200082E+00   0.899540E-03  -0.202642E+01
    61   0.160992E+04   0.210129E+00   0.929836E-03  -0.233898E+01
    62   0.163198E+04   0.220504E+00   0.960624E-03  -0.266413E+01
    63   0.165415E+04   0.231165E+00   0.991906E-03  -0.300294E+01
    64   0.167672E+04   0.242121E+00   0.102368E-02  -0.335672E+01
    65   0.169932E+04   0.253345E+00   0.105595E-02  -0.372619E+01
    66   0.172225E+04   0.264769E+00   0.108871E-02  -0.410953E+01
    67   0.174534E+04   0.276392E+00   0.112197E-02  -0.450391E+01
    68   0.176886E+04   0.288258E+00   0.115572E-02  -0.490754E+01
    69   0.179257E+04   0.300325E+00   0.118996E-02  -0.531853E+01
    70   0.181657E+04   0.312636E+00   0.122471E-02  -0.573844E+01
    71   0.184072E+04   0.325180E+00   0.125995E-02  -0.616957E+01
    72   0.186504E+04   0.337930E+00   0.129568E-02  -0.661335E+01
    73   0.188951E+04   0.350853E+00   0.133192E-02  -0.707047E+01
    74   0.191418E+04   0.363936E+00   0.136866E-02  -0.754015E+01
    75   0.193916E+04   0.377191E+00   0.140590E-02  -0.802100E+01
    76   0.196442E+04   0.390617E+00   0.144365E-02  -0.851246E+01
    77   0.199000E+04   0.404208E+00   0.148191E-02  -0.901435E+01
    78   0.201594E+04   0.417988E+00   0.152067E-02  -0.952807E+01
    79   0.204206E+04   0.431902E+00   0.155995E-02  -0.100498E+02
    80   0.206845E+04   0.445955E+00   0.159974E-02  -0.105809E+02
    81   0.209503E+04   0.460096E+00   0.164004E-02  -0.111219E+02
    82   0.212185E+04   0.474347E+00   0.168086E-02  -0.116717E+02
    83   0.214886E+04   0.488681E+00   0.172221E-02  -0.122299E+02
    84   0.217613E+04   0.503098E+00   0.176408E-02  -0.127945E+02
    85   0.220351E+04   0.517571E+00   0.180647E-02  -0.133666E+02
    86   0.223110E+04   0.532113E+00   0.184940E-02  -0.139451E+02
    87   0.225911E+04   0.546693E+00   0.189286E-02  -0.145292E+02
    88   0.228710E+04   0.561327E+00   0.193685E-02  -0.151191E+02
    89   0.231544E+04   0.576000E+00   0.198138E-02  -0.157163E+02
    90   0.234398E+04   0.590675E+00   0.202646E-02  -0.163180E+02
    91   0.237266E+04   0.605344E+00   0.207208E-02  -0.169251E+02
    92   0.240162E+04   0.619993E+00   0.211824E-02  -0.175367E+02
    93   0.243086E+04   0.634617E+00   0.216496E-02  -0.181530E+02
    94   0.246016E+04   0.649177E+00   0.221223E-02  -0.187725E+02
    95   0.248975E+04   0.663676E+00   0.226006E-02  -0.193960E+02
    96   0.251932E+04   0.678098E+00   0.230845E-02  -0.200228E+02
    97   0.254932E+04   0.692431E+00   0.235740E-02  -0.206521E+02
    98   0.257954E+04   0.706666E+00   0.240692E-02  -0.212818E+02
    99   0.260982E+04   0.720768E+00   0.245701E-02  -0.219149E+02
   100   0.264039E+04   0.734738E+00   0.250767E-02  -0.225469E+02
   101   0.267110E+04   0.748636E+00   0.255891E-02  -0.231809E+02
   102   0.270232E+04   0.762313E+00   0.261072E-02  -0.238146E+02
   103   0.273346E+04   0.775846E+00   0.266312E-02  -0.244489E+02
   104   0.276482E+04   0.789234E+00   0.271610E-02  -0.250807E+02
   105   0.279631E+04   0.802405E+00   0.276968E-02  -0.257117E+02
   106   0.282803E+04   0.815433E+00   0.282384E-02  -0.263410E+02
   107   0.285967E+04   0.828170E+00   0.287860E-02  -0.269674E+02
   108   0.289167E+04   0.840693E+00   0.293396E-02  -0.275914E+02
   109   0.292382E+04   0.852926E+00   0.298992E-02  -0.282117E+02
   110   0.295605E+04   0.864871E+00   0.304649E-02  -0.288269E+02
   111   0.298842E+04   0.876603E+00   0.310367E-02  -0.294384E+02
   112   0.302094E+04   0.888049E+00   0.316146E-02  -0.300454E+02
   113   0.305367E+04   0.899208E+00   0.321986E-02  -0.306466E+02
   114   0.308648E+04   0.910006E+00   0.327889E-02  -0.312410E+02
   115   0.311950E+04   0.920593E+00   0.333853E-02  -0.318288E+02
   116   0.315252E+04   0.930746E+00   0.339881E-02  -0.324091E+02
   117   0.318583E+04   0.940539E+00   0.345972E-02  -0.329812E+02
