#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.112982E+04   0.339373E+01   0.343977E-02   0.339373E+01   0.548808E-01  -0.163874E-04   0.343977E-02  -0.163874E-04   0.488559E-07
     3   0.105164E+04   0.424542E+01   0.341890E-02   0.424542E+01   0.883129E-01  -0.198896E-04   0.341890E-02  -0.198896E-04   0.594171E-07
     4   0.979120E+03   0.435474E+01   0.332692E-02   0.435474E+01   0.977554E-01  -0.198382E-04   0.332692E-02  -0.198382E-04   0.684187E-07
     5   0.923257E+03   0.402509E+01   0.320854E-02   0.402509E+01   0.853386E-01  -0.172796E-04   0.320854E-02  -0.172796E-04   0.762100E-07
     6   0.882639E+03   0.349081E+01   0.308244E-02   0.349081E+01   0.620301E-01  -0.131636E-04   0.308244E-02  -0.131636E-04   0.829914E-07
     7   0.854350E+03   0.290057E+01   0.295829E-02   0.290057E+01   0.388817E-01  -0.840184E-05   0.295829E-02  -0.840184E-05   0.889452E-07
     8   0.835172E+03   0.234491E+01   0.283671E-02   0.234491E+01   0.222142E-01  -0.381788E-05   0.283671E-02  -0.381788E-05   0.942003E-07
     9   0.822970E+03   0.187009E+01   0.271685E-02   0.187009E+01   0.131021E-01  -0.499922E-07   0.271685E-02  -0.499922E-07   0.988652E-07
    10   0.816180E+03   0.150096E+01   0.260071E-02   0.150096E+01   0.941925E-02   0.256699E-05   0.260071E-02   0.256699E-05   0.103008E-06
    11   0.813231E+03   0.124553E+01   0.249332E-02   0.124553E+01   0.829261E-02   0.399381E-05   0.249332E-02   0.399381E-05   0.106721E-06
    12   0.814235E+03   0.110112E+01   0.239622E-02   0.110112E+01   0.773991E-02   0.432999E-05   0.239622E-02   0.432999E-05   0.110027E-06
    13   0.817413E+03   0.104350E+01   0.230813E-02   0.104350E+01   0.691091E-02   0.374445E-05   0.230813E-02   0.374445E-05   0.112971E-06
    14   0.821826E+03   0.104384E+01   0.222708E-02   0.104384E+01   0.600530E-02   0.246656E-05   0.222708E-02   0.246656E-05   0.115606E-06
    15   0.827736E+03   0.108305E+01   0.215029E-02   0.108305E+01   0.531402E-02   0.915764E-06   0.215029E-02   0.915764E-06   0.117961E-06
    16   0.835513E+03   0.114541E+01   0.207562E-02   0.114541E+01   0.504319E-02  -0.494794E-06   0.207562E-02  -0.494794E-06   0.120062E-06
    17   0.845066E+03   0.121592E+01   0.200428E-02   0.121592E+01   0.518855E-02  -0.156734E-05   0.200428E-02  -0.156734E-05   0.121937E-06
    18   0.855445E+03   0.128292E+01   0.193773E-02   0.128292E+01   0.550837E-02  -0.220112E-05   0.193773E-02  -0.220112E-05   0.123612E-06
    19   0.867475E+03   0.134096E+01   0.187523E-02   0.134096E+01   0.586975E-02  -0.246818E-05   0.187523E-02  -0.246818E-05   0.125097E-06
    20   0.879474E+03   0.138521E+01   0.181562E-02   0.138521E+01   0.625051E-02  -0.246015E-05   0.181562E-02  -0.246015E-05   0.126401E-06
    21   0.891786E+03   0.142172E+01   0.175837E-02   0.142172E+01   0.669538E-02  -0.217415E-05   0.175837E-02  -0.217415E-05   0.127548E-06
    22   0.904684E+03   0.145682E+01   0.170325E-02   0.145682E+01   0.733629E-02  -0.162345E-05   0.170325E-02  -0.162345E-05   0.128555E-06
    23   0.917976E+03   0.149206E+01   0.165063E-02   0.149206E+01   0.822801E-02  -0.980230E-06   0.165063E-02  -0.980230E-06   0.129433E-06
    24   0.931718E+03   0.152814E+01   0.160087E-02   0.152814E+01   0.936648E-02  -0.438128E-06   0.160087E-02  -0.438128E-06   0.130189E-06
    25   0.945849E+03   0.156695E+01   0.155389E-02   0.156695E+01   0.107608E-01  -0.117720E-06   0.155389E-02  -0.117720E-06   0.130833E-06
    26   0.960180E+03   0.161108E+01   0.150941E-02   0.161108E+01   0.123792E-01  -0.779891E-07   0.150941E-02  -0.779891E-07   0.131376E-06
    27   0.974943E+03   0.165759E+01   0.146702E-02   0.165759E+01   0.141780E-01  -0.204658E-06   0.146702E-02  -0.204658E-06   0.131828E-06
    28   0.989990E+03   0.170363E+01   0.142640E-02   0.170363E+01   0.161443E-01  -0.365890E-06   0.142640E-02  -0.365890E-06   0.132195E-06
    29   0.100538E+04   0.174728E+01   0.138777E-02   0.174728E+01   0.182875E-01  -0.532872E-06   0.138777E-02  -0.532872E-06   0.132478E-06
    30   0.102101E+04   0.178545E+01   0.135132E-02   0.178545E+01   0.206242E-01  -0.707105E-06   0.135132E-02  -0.707105E-06   0.132676E-06
    31   0.103677E+04   0.181575E+01   0.131665E-02   0.181575E+01   0.231393E-01  -0.908322E-06   0.131665E-02  -0.908322E-06   0.132803E-06
    32   0.105290E+04   0.183589E+01   0.128329E-02   0.183589E+01   0.258068E-01  -0.113978E-05   0.128329E-02  -0.113978E-05   0.132868E-06
    33   0.106940E+04   0.184321E+01   0.125092E-02   0.184321E+01   0.286377E-01  -0.132059E-05   0.125092E-02  -0.132059E-05   0.132875E-06
    34   0.108610E+04   0.183696E+01   0.121935E-02   0.183696E+01   0.316621E-01  -0.136478E-05   0.121935E-02  -0.136478E-05   0.132828E-06
    35   0.110296E+04   0.182142E+01   0.118861E-02   0.182142E+01   0.349011E-01  -0.125007E-05   0.118861E-02  -0.125007E-05   0.132729E-06
    36   0.111991E+04   0.179943E+01   0.115885E-02   0.179943E+01   0.383749E-01  -0.995640E-06   0.115885E-02  -0.995640E-06   0.132583E-06
    37   0.113697E+04   0.176710E+01   0.113059E-02   0.176710E+01   0.420767E-01  -0.722626E-06   0.113059E-02  -0.722626E-06   0.132394E-06
    38   0.115444E+04   0.172214E+01   0.110421E-02   0.172214E+01   0.460033E-01  -0.544967E-06   0.110421E-02  -0.544967E-06   0.132164E-06
    39   0.117231E+04   0.166666E+01   0.107935E-02   0.166666E+01   0.501662E-01  -0.445809E-06   0.107935E-02  -0.445809E-06   0.131896E-06
    40   0.119030E+04   0.160368E+01   0.105547E-02   0.160368E+01   0.545857E-01  -0.375600E-06   0.105547E-02  -0.375600E-06   0.131592E-06
    41   0.120852E+04   0.153504E+01   0.103214E-02   0.153504E+01   0.592828E-01  -0.295774E-06   0.103214E-02  -0.295774E-06   0.131254E-06
    42   0.122673E+04   0.145884E+01   0.100933E-02   0.145884E+01   0.642585E-01  -0.211714E-06   0.100933E-02  -0.211714E-06   0.130883E-06
    43   0.124509E+04   0.137222E+01   0.987133E-03   0.137222E+01   0.695091E-01  -0.139789E-06   0.987133E-03  -0.139789E-06   0.130483E-06
