#    L    TT             EE             TE             PP             TP          
     2   0.112982E+04   0.548808E-01   0.339373E+01   0.101346E+07   0.320640E+05
     3   0.105164E+04   0.883130E-01   0.424542E+01   0.155993E+07   0.380281E+05
     4   0.979120E+03   0.977554E-01   0.435474E+01   0.204375E+07   0.407665E+05
     5   0.923257E+03   0.853386E-01   0.402508E+01   0.247014E+07   0.417986E+05
     6   0.882638E+03   0.620301E-01   0.349081E+01   0.284585E+07   0.418890E+05
     7   0.854350E+03   0.388816E-01   0.290056E+01   0.317842E+07   0.414647E+05
     8   0.835172E+03   0.222142E-01   0.234491E+01   0.347392E+07   0.407111E+05
     9   0.822970E+03   0.131021E-01   0.187009E+01   0.373767E+07   0.397242E+05
    10   0.816179E+03   0.941925E-02   0.150096E+01   0.397336E+07   0.386037E+05
    11   0.813230E+03   0.829261E-02   0.124553E+01   0.418548E+07   0.374732E+05
    12   0.814235E+03   0.773990E-02   0.110111E+01   0.437569E+07   0.363928E+05
    13   0.817413E+03   0.691091E-02   0.104350E+01   0.454643E+07   0.353678E+05
    14   0.821826E+03   0.600530E-02   0.104384E+01   0.470030E+07   0.343889E+05
    15   0.827735E+03   0.531402E-02   0.108305E+01   0.483898E+07   0.334257E+05
    16   0.835512E+03   0.504319E-02   0.114541E+01   0.496387E+07   0.324549E+05
    17   0.845066E+03   0.518855E-02   0.121592E+01   0.507647E+07   0.315027E+05
    18   0.855445E+03   0.550837E-02   0.128292E+01   0.517810E+07   0.305984E+05
    19   0.867474E+03   0.586975E-02   0.134096E+01   0.526944E+07   0.297349E+05
    20   0.879473E+03   0.625051E-02   0.138521E+01   0.535113E+07   0.288979E+05
    21   0.891786E+03   0.669537E-02   0.142172E+01   0.542422E+07   0.280822E+05
    22   0.904683E+03   0.733629E-02   0.145682E+01   0.548974E+07   0.272865E+05
    23   0.917975E+03   0.822801E-02   0.149206E+01   0.554820E+07   0.265185E+05
    24   0.931718E+03   0.936648E-02   0.152814E+01   0.560001E+07   0.257864E+05
    25   0.945849E+03   0.107608E-01   0.156695E+01   0.564576E+07   0.250897E+05
    26   0.960179E+03   0.123792E-01   0.161108E+01   0.568602E+07   0.244257E+05
    27   0.974943E+03   0.141780E-01   0.165759E+01   0.572126E+07   0.237887E+05
    28   0.989989E+03   0.161443E-01   0.170363E+01   0.575186E+07   0.231744E+05
    29   0.100537E+04   0.182875E-01   0.174728E+01   0.577787E+07   0.225870E+05
    30   0.102101E+04   0.206242E-01   0.178545E+01   0.579943E+07   0.220304E+05
    31   0.103677E+04   0.231393E-01   0.181575E+01   0.581705E+07   0.214988E+05
    32   0.105290E+04   0.258068E-01   0.183589E+01   0.583128E+07   0.209848E+05
    33   0.106940E+04   0.286377E-01   0.184320E+01   0.584233E+07   0.204837E+05
    34   0.108610E+04   0.316621E-01   0.183696E+01   0.585036E+07   0.199927E+05
    35   0.110296E+04   0.349011E-01   0.182142E+01   0.585557E+07   0.195125E+05
    36   0.111991E+04   0.383749E-01   0.179943E+01   0.585818E+07   0.190461E+05
    37   0.113697E+04   0.420767E-01   0.176709E+01   0.585837E+07   0.186019E+05
    38   0.115444E+04   0.460033E-01   0.172213E+01   0.585632E+07   0.181868E+05
    39   0.117231E+04   0.501662E-01   0.166666E+01   0.585214E+07   0.177949E+05
    40   0.119030E+04   0.545857E-01   0.160368E+01   0.584594E+07   0.174175E+05
    41   0.120852E+04   0.592828E-01   0.153504E+01   0.583785E+07   0.170476E+05
    42   0.122673E+04   0.642585E-01   0.145884E+01   0.582798E+07   0.166851E+05
    43   0.124509E+04   0.695091E-01   0.137222E+01   0.581645E+07   0.163314E+05
    44   0.126344E+04   0.750160E-01   0.127324E+01   0.580339E+07   0.159883E+05
    45   0.128215E+04   0.807707E-01   0.116002E+01   0.578891E+07   0.156571E+05
    46   0.130115E+04   0.867700E-01   0.102944E+01   0.577315E+07   0.153389E+05
    47   0.132029E+04   0.930162E-01   0.883295E+00   0.575617E+07   0.150320E+05
    48   0.133952E+04   0.995206E-01   0.727245E+00   0.573808E+07   0.147341E+05
    49   0.135891E+04   0.106272E+00   0.566372E+00   0.571894E+07   0.144428E+05
    50   0.137870E+04   0.113252E+00   0.398972E+00   0.569885E+07   0.141559E+05
    51   0.139866E+04   0.120436E+00   0.221508E+00   0.567788E+07   0.138719E+05
    52   0.141902E+04   0.127906E+00   0.287544E-01   0.565609E+07   0.135927E+05
    53   0.143938E+04   0.135807E+00  -0.183088E+00   0.563354E+07   0.133210E+05
    54   0.145967E+04   0.144126E+00  -0.409850E+00   0.561026E+07   0.130595E+05
    55   0.148011E+04   0.152835E+00  -0.647247E+00   0.558633E+07   0.128110E+05
    56   0.150089E+04   0.161787E+00  -0.897077E+00   0.556177E+07   0.125773E+05
    57   0.152196E+04   0.170877E+00  -0.115917E+01   0.553664E+07   0.123567E+05
    58   0.154333E+04   0.180116E+00  -0.143409E+01   0.551096E+07   0.121464E+05
    59   0.156485E+04   0.189546E+00  -0.172242E+01   0.548477E+07   0.119440E+05
    60   0.158654E+04   0.199224E+00  -0.202333E+01   0.545808E+07   0.117467E+05
    61   0.160869E+04   0.209244E+00  -0.233585E+01   0.543095E+07   0.115523E+05
    62   0.163073E+04   0.219592E+00  -0.266097E+01   0.540340E+07   0.113600E+05
    63   0.165286E+04   0.230227E+00  -0.299976E+01   0.537550E+07   0.111695E+05
    64   0.167540E+04   0.241156E+00  -0.335353E+01   0.534729E+07   0.109804E+05
    65   0.169798E+04   0.252354E+00  -0.372300E+01   0.531881E+07   0.107923E+05
    66   0.172088E+04   0.263750E+00  -0.410637E+01   0.529012E+07   0.106053E+05
    67   0.174394E+04   0.275346E+00  -0.450079E+01   0.526123E+07   0.104208E+05
    68   0.176743E+04   0.287185E+00  -0.490446E+01   0.523217E+07   0.102404E+05
    69   0.179111E+04   0.299225E+00  -0.531552E+01   0.520297E+07   0.100660E+05
    70   0.181508E+04   0.311508E+00  -0.573552E+01   0.517365E+07   0.989916E+04
    71   0.183920E+04   0.324024E+00  -0.616676E+01   0.514422E+07   0.974123E+04
    72   0.186349E+04   0.336747E+00  -0.661066E+01   0.511470E+07   0.959141E+04
    73   0.188793E+04   0.349642E+00  -0.706793E+01   0.508509E+07   0.944837E+04
    74   0.191257E+04   0.362697E+00  -0.753778E+01   0.505539E+07   0.931082E+04
    75   0.193752E+04   0.375924E+00  -0.801882E+01   0.502561E+07   0.917746E+04
    76   0.196275E+04   0.389323E+00  -0.851050E+01   0.499575E+07   0.904711E+04
